course_code,title,units,prerequisite_text
COMSCI111,General Catalog 2024-25,5.0,"courses 32, 33, 35L"
COMSCI112,General Catalog 2024-25,4.0,"course 111 and one course from Civil Engineering 110, Electrical Engineering 131A, Mathematics 170A, or Statistics 100A"
COMSCI117,General Catalog 2024-25,4.0,
COMSCI118,General Catalog 2024-25,4.0,course 111
COMSCI130,General Catalog 2024-25,4.0,"courses 111, 131"
COMSCI131,General Catalog 2024-25,4.0,"courses 33, 35L"
COMSCI132,General Catalog 2024-25,4.0,course 131
COMSCI133,General Catalog 2024-25,4.0,"courses 131, M151B"
COMSCI134,General Catalog 2024-25,4.0,course 118
COMSCI136,General Catalog 2024-25,4.0,course 118
COMSCI143,General Catalog 2024-25,4.0,course 32 or Program in Computing 10C
COMSCI144,General Catalog 2024-25,4.0,course 143
COMSCI145,General Catalog 2024-25,4.0,course 32
COMSCI152B,General Catalog 2024-25,4.0,course M151B or Electrical Engineering M116C
COMSCI161,General Catalog 2024-25,4.0,course 180
COMSCI162,General Catalog 2024-25,4.0,course 145 or M146
COMSCI163,General Catalog 2024-25,4.0,"one course from course C124, 145, M146, M148, 161, 162, Electrical and Computer Engineering C147, or 149"
COMSCI174A,General Catalog 2024-25,4.0,course 32
COMSCI180,General Catalog 2024-25,4.0,"course 32, Mathematics 61"
COMSCI181,General Catalog 2024-25,4.0,course 180
COMSCI183,General Catalog 2024-25,4.0,course 180
COMSCI188,General Catalog 2024-25,4.0,
COMSCI31,General Catalog 2024-25,4.0,
COMSCI32,General Catalog 2024-25,4.0,course 31
COMSCI33,General Catalog 2024-25,5.0,course 32
COMSCI35L,General Catalog 2024-25,4.0,course 31
COMSCIC121,General Catalog 2024-25,4.0,"course 32 or Program in Computing 10C with grade of C– or better, and one course from Civil and Environmental Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, Mathematics 170E, or Statistics 100A"
COMSCIC122,General Catalog 2024-25,4.0,"course 32 or Program in Computing 10C with grade of C– or better, and one course from Civil Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, Mathematics 170E, or Statistics 100A"
COMSCIC124,General Catalog 2024-25,4.0,"course 32 or Program in Computing 10C with grade of C– or better, Mathematics 33A, and one course from Civil Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, Mathematics 170E, or Statistics 100A"
COMSCIC174C,General Catalog 2024-25,4.0,course 174A
COMSCICM186,General Catalog 2024-25,5.0,"Life Sciences 30A, 30B, Mathematics 32A or M32T, 33A, and 33B; or Mathematics 31A, 31B, 32A or M32T, 33A, and 33B"
COMSCIM119,General Catalog 2024-25,4.0,"courses 33; 118 or Electrical and Computer Engineering 132B; one course from Civil and Environmental Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, 170E, Statistics 100A"
COMSCIM138,General Catalog 2024-25,4.0,course 33
COMSCIM146,General Catalog 2024-25,4.0,course 32 or Program in Computing 10C; Civil and Environmental Engineering 110 or Electrical and Computer Engineering 131A or Mathematics 170A or 170E or Statistics 100A; Mathematics 33A
COMSCIM151B,General Catalog 2024-25,4.0,"courses 33, and M51A or Electrical and Computer Engineering M16"
COMSCIM152A,General Catalog 2024-25,2.0,course M51A or Electrical and Computer Engineering M16
COMSCIM182,General Catalog 2024-25,4.0,"Life Sciences 30A and 30B, or Mathematics 3A and 3B, or 31A and 31B"
COMSCIM184,General Catalog 2024-25,2.0,"one course from 31, Civil Engineering M20, Mechanical and Aerospace Engineering M20, or Program in Computing 10A; and Life Sciences 30B or Mathematics 3B or 31B"
COMSCIM51A,General Catalog 2024-25,4.0,
ECENGR10,General Catalog 2024-25,4.0,"course 3 (or Computer Science 1 or Materials Science 10), Mathematics 33A, Physics 1B"
ECENGR100,General Catalog 2024-25,4.0,"Mathematics 33A, 33B or Mechanical and Aerospace Engineering 82, Physics 1C"
ECENGR101A,General Catalog 2024-25,4.0,"Mathematics 32A and 32B, or 33A and 33B, Physics 1C"
ECENGR101B,General Catalog 2024-25,4.0,course 101A
ECENGR102,General Catalog 2024-25,4.0,Mathematics 33A
ECENGR110,General Catalog 2024-25,4.0,"courses 10, M16 (or Computer Science M51A), 102"
ECENGR110L,General Catalog 2024-25,2.0,course 100 or 110
ECENGR111L,General Catalog 2024-25,1.0,"courses 10, 11L"
ECENGR113,General Catalog 2024-25,4.0,course 102
ECENGR115A,General Catalog 2024-25,4.0,course 110
ECENGR115AL,General Catalog 2024-25,2.0,"courses 110L or 111L, 115A"
ECENGR115B,General Catalog 2024-25,4.0,course 115A
ECENGR115BL,General Catalog 2024-25,,
ECENGR115C,General Catalog 2024-25,4.0,"course 100 or 115A, and Computer Science M51A"
ECENGR115CL,General Catalog 2024-25,,
ECENGR117,General Catalog 2024-25,,
ECENGR118,General Catalog 2024-25,,
ECENGR11L,General Catalog 2024-25,1.0,course 10
ECENGR121B,General Catalog 2024-25,4.0,course 2
ECENGR123A,General Catalog 2024-25,4.0,course 2 or Physics 1C
ECENGR123B,General Catalog 2024-25,4.0,course 123A
ECENGR124,General Catalog 2024-25,,
ECENGR125,General Catalog 2024-25,,
ECENGR128,General Catalog 2024-25,4.0,Physics 1C
ECENGR131A,General Catalog 2024-25,4.0,"Mathematics 32B, 33B"
ECENGR131B,General Catalog 2024-25,,
ECENGR132A,General Catalog 2024-25,4.0,"courses 102, 113, 131A"
ECENGR132B,General Catalog 2024-25,4.0,course 131A
ECENGR133A,General Catalog 2024-25,4.0,"course 131A, and Civil Engineering M20 or Computer Science 31 or Mechanical and Aerospace Engineering M20"
ECENGR133B,General Catalog 2024-25,4.0,course 133A
ECENGR134,General Catalog 2024-25,4.0,
ECENGR136,General Catalog 2024-25,,
ECENGR141,General Catalog 2024-25,4.0,course 102
ECENGR142,General Catalog 2024-25,4.0,course 102
ECENGR151,General Catalog 2024-25,,
